business_name,category,city,address,phone,source,rating,established_year,opening_time,closing_time
Gaba-Bedi Ltd,Retail & Supermarket,Chennai,"H.No. 10, Apte Path, Street, Chennai",9860861129,Bing Places,3.8,1997,09:00,22:00
Bandi Inc PLC,Healthcare & Clinic,Mumbai,"H.No. 26, Patil Chowk, Street, Mumbai",07637920947,Google Maps,4.8,1986,24 Hours,24 Hours
"Bakshi, Sidhu and Kaur PLC",Healthcare & Clinic,Mumbai,"84/18, Mane Path, Street, Mumbai",+918956453873,Bing Places,4.4,1990,08:00,20:00
"Pandey, Mammen and Seshadri Inc",Healthcare & Clinic,Ahmedabad,"36/202, Sathe Street, Street, Ahmedabad",+918559989440,Sulekha,4.1,2016,08:00,20:00
"Bora, Kant and Mani PLC",IT Services & Consulting,Ahmedabad,"H.No. 37, Lall Chowk, Street, Ahmedabad",1544278249,Google Maps,3.9,1998,09:00,18:00
"Bawa, Tailor and Rajagopal PLC",Hospitality & Hotel,Ahmedabad,"09, Narang Circle, Street, Ahmedabad",9540368868,Bing Places,3.8,1981,24 Hours,24 Hours
Buch and Sons Group,Automobile & Repair,Delhi,"29/57, Nadkarni Chowk, Street, Delhi",09116406984,Bing Places,3.2,1995,09:00,20:00
"Wali, Seshadri and Saraf Inc",Fitness & Wellness,Delhi,"62/37, Kapur Chowk, Street, Delhi",+916241618271,YellowPages,4.2,2010,05:00,22:00
Pandey Group PLC,Retail & Supermarket,Kolkata,"34/10, Goswami Nagar, Street, Kolkata",01974293257,Justdial,3.9,2008,09:00,22:00
"Ganesh, Balakrishnan and Kota Inc",Restaurant & Cafe,Kolkata,"H.No. 100, Narasimhan Marg, Street, Kolkata",8452896289,YellowPages,3.4,2004,11:00,23:00
Rattan-Kapadia and Sons,Restaurant & Cafe,Jaipur,"46/700, Patil Circle, Street, Jaipur",03574689420,Bing Places,4.9,2005,11:00,23:00
Date-Banik LLC,IT Services & Consulting,Jaipur,"H.No. 63, Baria Circle, Street, Jaipur",0448762498,Bing Places,3.8,2020,09:00,18:00
Raval Inc Inc,Automobile & Repair,Mumbai,"H.No. 19, Garde Zila, Street, Mumbai",07695369265,Google Maps,4.4,1990,09:00,20:00
Nayar PLC Ltd,Education & Training,Kolkata,"76/72, Batta Ganj, Street, Kolkata",07269257453,Sulekha,3.2,2006,08:00,17:00
"Doshi, Bhasin and Parikh and Sons",IT Services & Consulting,Mumbai,"H.No. 94, Nigam Nagar, Street, Mumbai",+914763133049,Justdial,4.7,1992,09:00,18:00
"Mammen, Sidhu and Dasgupta Group",Financial Services,Jaipur,"61, Buch Road, Street, Jaipur",7656920202,Justdial,3.7,1998,09:00,17:00
Modi-Doshi and Sons,IT Services & Consulting,Bengaluru,"02/094, Saha Ganj, Street, Bengaluru",01498806086,Sulekha,3.8,2000,09:00,18:00
Vala Inc Inc,Retail & Supermarket,Chennai,"65/77, Chopra Path, Street, Chennai",4196903115,YellowPages,4.2,2010,09:00,22:00
Bal PLC PLC,Hospitality & Hotel,Chennai,"45, Dey Road, Street, Chennai",+912662488828,Google Maps,3.9,2015,24 Hours,24 Hours
Sheth PLC Inc,Hospitality & Hotel,Delhi,"634, Dash Chowk, Street, Delhi",+917595178970,Sulekha,4.7,2020,24 Hours,24 Hours
Dara LLC Group,Education & Training,Pune,"56, Dey Path, Street, Pune",+913759752780,Bing Places,3.5,1973,08:00,17:00
